Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Anthony Gill,WAS,32,21,2,19,7.2,2.4,0.9,1.7,51.4,0.2,0.6,33.3,0.5,0.9,55.6,0.3,1,1.3,0.3,0.2,0.2,0,0.6,5,0,0,-1.1
Trey Jemison III,NOP,25,16,1,15,10.4,2.4,0.9,2,46.9,0,0,0,0.5,1.3,38.1,1.4,1.4,2.8,0.6,0.6,0.4,0.4,1.7,8.4,0,0,-1.1
Nate Williams,HOU,25,3,3,0,3.3,2.3,1,1.3,75,0.3,0.7,50,0,0,0,0,1,1,0,0,0.3,0,0,4.5,0,0,1
Lester Quinones,PHI,24,4,1,3,4.2,2.3,1,2,50,0,0.8,0,0.3,0.3,100,0.8,0.3,1,0.3,1,0,0,0,2.8,0,0,-1
Vlatko ?an?ar,DEN,27,4,1,3,8.6,2.3,1,1.8,57.1,0.3,0.5,50,0,0,0,0.8,1.3,2,0,0.5,0,0.3,1,4.9,0,0,-0.5
Olivier-Maxence Prosper,DAL,22,21,15,6,7.2,2.2,0.8,2,37.2,0.2,0.7,28.6,0.5,0.9,57.9,0.7,1.1,1.8,0.4,0.1,0.2,0.1,0.3,5.9,0,0,-0.3
Jordan McLaughlin,SAC,28,22,11,11,7.4,2.2,0.7,1.8,38.5,0.4,1,39.1,0.5,0.6,71.4,0.1,0.7,0.9,0.9,0.4,0.4,0,0.5,5.4,0,0,0.2
Jaylon Tyson,CLE,22,19,16,3,7.7,2.2,0.9,1.9,45.9,0.2,0.7,30.8,0.2,0.4,50,0.7,1,1.7,0.7,0.5,0.3,0,1.2,5.6,1,0,-0.3
Duop Reath,POR,28,14,4,10,6.2,2.1,0.8,2.1,37.9,0.6,1.6,36.4,0,0,0,0.4,0.5,0.9,0.3,0.1,0,0.1,0.7,4,0,0,-1.5
Dillon Jones,OKC,23,25,21,4,8.2,2.1,0.8,2.4,32.8,0.3,1.4,19.4,0.2,0.4,60,0.6,1.2,1.8,0.7,0.3,0.2,0.1,0.9,5.7,0,0,-0.3
Adama Sanogo,CHI,22,4,2,2,5.4,2,1,1.8,57.1,0,0,0,0,0,0,1.3,0.3,1.5,0.3,0.3,0,0,0.3,3.9,0,0,-1.3
Alex Reese,OKC,25,1,1,0,1.9,2,1,1,100,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3.2,0,0,3
Bryce McGowens,POR,22,1,0,1,2.6,2,1,2,50,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.5,0,0,9
Jalen Hood-Schifino,LAL,21,2,2,0,7.1,2,0.5,0.5,100,0,0,0,1,1,100,0.5,0,0.5,0.5,0.5,0,0.5,1.5,4.4,0,0,4
Justin Edwards,PHI,21,2,1,1,4.5,2,1,1.5,66.7,0,0.5,0,0,0.5,0,0,1,1,0.5,0,0,0,0,4,0,0,-1.5
Leonard Miller,MIN,21,1,0,1,1.6,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,1,0,0,5,0,0,4
Orlando Robinson,SAC,24,8,4,4,6.3,2,0.8,1.9,40,0.1,0.6,20,0.4,0.8,50,0.4,1.1,1.5,1.1,0.4,0.3,0.1,0.8,6.2,0,0,0.9
Tyler Smith,MIL,20,11,6,5,3.5,2,0.8,1.3,64.3,0.3,0.7,37.5,0.1,0.2,50,0.1,0.8,0.9,0.1,0.3,0,0.3,0.4,3.8,0,0,1.3
Kai Jones,LAC,23,20,10,10,7.7,2,0.8,1,75,0,0,0,0.5,0.6,75,0.6,1.1,1.7,0.4,0.4,0.3,0.5,1,6.4,0,0,-0.9
Patrick Baldwin Jr.,WAS,22,14,1,13,4.3,1.9,0.7,1.4,50,0.4,0.8,45.5,0.1,0.3,50,0.2,0.6,0.9,0.1,0.1,0.1,0.1,0.3,3.8,0,0,1.6
MarJon Beauchamp,MIL,24,14,8,6,3.8,1.9,0.6,1.6,40.9,0.2,0.8,27.3,0.4,0.4,83.3,0.1,0.8,0.9,0.1,0.8,0.1,0,0.3,2.6,0,0,1.1
Christian Koloko,LAL,24,20,13,7,9.1,1.9,0.9,1.4,63,0,0.1,0,0.2,0.2,75,0.9,1.4,2.3,0.2,0.4,0.3,0.4,1.2,6.5,0,0,-0.6
Ariel Hukporti,NYK,22,12,9,3,8.2,1.8,0.8,1.2,64.3,0,0,0,0.3,0.7,50,0.3,1.5,1.8,0.5,0.8,0,0.7,1.2,6,0,0,-4
Jericho Sims,NYK,26,29,19,10,11.6,1.7,0.8,1.2,64.7,0,0,0,0.2,0.3,66.7,1.3,2.2,3.6,0.6,0.5,0.2,0.3,1.3,8,0,0,1.4
Caleb Houstan,ORL,21,21,11,10,6.2,1.7,0.5,1.6,32.4,0.4,1.3,32.1,0.2,0.2,100,0.1,0.3,0.4,0.2,0,0,0.1,0.4,2.9,0,0,-0.9
Dwight Powell,DAL,33,25,16,9,7.7,1.7,0.5,0.6,80,0,0,100,0.7,1,65.4,0.6,1,1.6,0.7,0.2,0.3,0.4,1.2,6.8,0,0,0.3
Adem Bona,PHI,21,15,2,13,6.8,1.6,0.6,0.9,64.3,0,0,0,0.4,0.5,85.7,0.6,1.2,1.8,0.1,0.4,0,0.4,1.1,4.7,0,0,0.6
James Johnson,IND,37,5,1,4,4.3,1.6,0.8,1.4,57.1,0,0.2,0,0,0.2,0,0,0.8,0.8,0.6,0.8,0,0.4,0.6,3.9,0,0,1
Yuki Kawamura,MEM,23,15,12,3,3.5,1.6,0.5,1.3,40,0.3,0.9,28.6,0.3,0.4,66.7,0,0.3,0.3,0.7,0.3,0.1,0,0.3,3,0,0,-0.1
Pac�me Dadiet,NYK,19,12,10,2,6.8,1.6,0.5,1.7,30,0.4,1.2,35.7,0.2,0.2,100,0,1.1,1.1,0.4,0.1,0.1,0.2,0.4,4.2,0,0,0.1
Cory Joseph,ORL,33,19,10,9,6.1,1.6,0.6,1.7,33.3,0.4,1.2,36.4,0,0,0,0.3,0.7,1,0.7,0.3,0.3,0.1,0.4,4.8,0,0,-0.5
Enrique Freeman,IND,24,17,4,13,7,1.5,0.6,1.3,45.5,0.1,0.4,16.7,0.3,0.5,55.6,0.2,0.6,0.8,0.4,0.2,0.1,0.1,0.9,3.5,0,0,-2.4
Jordan Walsh,BOS,20,23,17,6,8.8,1.5,0.5,1.7,31.6,0.3,1.3,24.1,0.2,0.3,50,0.5,0.8,1.3,0.3,0.2,0.3,0.3,0.7,5.1,0,0,1.6
Alex Len,SAC,31,24,11,13,7.3,1.5,0.6,1.1,57.7,0,0.2,0,0.3,0.5,54.5,0.5,1.3,1.7,0.9,0.3,0.1,0.6,0.9,6.8,0,0,-2.3
Armel Traore,LAL,21,8,4,4,7.7,1.5,0.6,2.3,27.8,0,0.9,0,0.3,0.9,28.6,0.1,1.6,1.8,0.1,0.3,0.5,0.3,0.8,5.8,0,0,-6
Matt Ryan,NYK,27,10,9,1,4.6,1.5,0.6,2.1,28.6,0.3,1.4,21.4,0,0,0,0,0.2,0.2,0,0.3,0.1,0,0,1.7,0,0,-3.2
Terrence Shannon Jr.,MIN,24,10,7,3,4.5,1.5,0.7,1.3,53.8,0.1,0.3,33.3,0,0,0,0,0.2,0.2,0.5,0.3,0.2,0.1,0.1,3.1,0,0,0.5
Colin Castleton,MEM,24,9,8,1,3.7,1.4,0.2,0.9,25,0,0.4,0,1,1,100,0.2,0.7,0.9,0,0,0,0.1,0.4,2.8,0,0,0.7
AJ Johnson,MIL,20,5,3,2,2.1,1.4,0.6,1.2,50,0.2,0.2,100,0,0,0,0,0.4,0.4,0.2,0.4,0,0,0,1.8,0,0,2
Pat Spencer,GSW,28,10,4,6,4.9,1.4,0.6,1.7,35.3,0,0.3,0,0.2,0.2,100,0.4,0.6,1,1.4,0.4,0.6,0,0.4,6.1,0,0,-0.5
Adam Flagler,OKC,25,11,10,1,3.6,1.4,0.5,1.8,25,0.5,1.7,26.3,0,0,0,0.2,0.4,0.5,0,0,0.2,0,0.4,2.6,0,0,0.9
Jack McVeigh,HOU,28,6,5,1,3.6,1.3,0.5,1.8,27.3,0.3,1.3,25,0,0,0,0.2,0.5,0.7,0.2,0.2,0,0.2,0.2,2.7,0,0,0.3
Jaden Springer,BOS,22,12,9,3,4.4,1.3,0.3,1.1,23.1,0,0.3,0,0.8,1.1,76.9,0.3,0.8,1.2,0.3,0.1,0.3,0,0.5,3.9,0,0,-1.7
Jazian Gortman,DAL,21,12,8,4,3.4,1.3,0.5,1.3,37.5,0.3,0.6,42.9,0.1,0.2,50,0.1,0.2,0.3,0.3,0.2,0.1,0.1,0.4,2.5,0,0,-0.8
Luke Travers,CLE,23,6,5,1,6.9,1.3,0.5,1.2,42.9,0,0.5,0,0.3,0.3,100,0.2,0.8,1,0.8,0.3,0.2,0.2,0.5,4.5,0,0,1
Markieff Morris,DAL,35,4,3,1,5.2,1.3,0.5,2.3,22.2,0.3,0.8,33.3,0,0,0,0,1.3,1.3,0.5,0.5,0,0.3,0,3.8,0,0,-3.5
Brandon Williams,DAL,25,5,5,0,4.3,1.2,0.4,1.8,22.2,0,0.4,0,0.4,0.6,66.7,0.2,0.6,0.8,0.4,0.4,0,0,0.4,2.4,0,0,-3.2
JD Davison,BOS,22,5,5,0,4.7,1.2,0.4,1,40,0.2,0.6,33.3,0.2,0.4,50,0,0.4,0.4,0.2,1.2,0.2,0,0.2,1.4,0,0,-6
Zeke Nnaji,DEN,23,18,12,6,4.7,1.2,0.6,1.3,41.7,0,0.5,0,0.1,0.3,20,0.1,0.3,0.4,0.2,0.1,0.1,0.1,0.4,2.4,0,0,-3.6
Xavier Tillman,BOS,25,20,18,2,7.9,1.2,0.5,1.8,25.7,0.2,1,21.1,0.1,0.1,50,0.4,1.3,1.7,0.3,0.3,0.3,0.2,0.7,4.5,0,0,0.6
Colby Jones,SAC,22,21,9,12,5.6,1.1,0.5,1.1,41.7,0.2,0.4,44.4,0,0,0,0.3,0.7,1,0.2,0.3,0.2,0.2,0.6,3.7,0,0,-0.5
Sidy Cissoko,SAS,20,12,5,7,3,1.1,0.4,0.9,45.5,0.3,0.4,60,0,0.3,0,0.2,0.5,0.7,0.4,0.1,0,0,0.4,2.4,0,0,-0.3
Dominick Barlow,ATL,21,4,2,2,4.9,1,0.3,0.8,33.3,0.3,0.3,100,0.3,0.5,50,0,0.3,0.3,0,0,0.3,0,0.5,2.1,0,0,0.8
Jared Rhoden,CHA,25,4,1,3,2.9,1,0.5,2,25,0,0.5,0,0,0,0,0.5,0.5,1,0.5,0.3,0.3,0,0.3,3.5,0,0,2
Jaylen Martin,BKN,20,3,2,1,1.6,1,0.3,0.7,50,0.3,0.3,100,0,0,0,0,0,0,0,0,0,0,0.3,1,0,0,0.3
Mouhamed Gueye,ATL,22,2,0,2,5.7,1,0.5,2,25,0,1,0,0,0,0,0,1,1,0,0.5,0,0,0,1.7,0,0,-0.5
Quinten Post,GSW,24,2,0,2,2.7,1,0.5,1.5,33.3,0,1,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,2.4,0,0,1.5
Trey Alexander,DEN,21,10,6,4,4.8,0.9,0.3,1.2,25,0.1,0.6,16.7,0.2,0.2,100,0,0.1,0.1,0.3,0.1,0,0.1,0.3,1.7,0,0,0.6
Baylor Scheierman,BOS,24,5,5,0,6.8,0.8,0.2,2,10,0,1.2,0,0.4,0.4,100,0.4,1,1.4,0.4,0,0.2,0,0.6,3.7,0,0,-2
Karlo Matkovi?,NOP,23,5,1,4,7.7,0.8,0.4,1,40,0,0,0,0,0,0,1.2,0.8,2,0,0.8,0.6,0.6,0.8,6,0,0,0.2
PJ Dozier,MIN,28,9,7,2,3.9,0.8,0.2,0.3,66.7,0.2,0.3,66.7,0.1,0.7,16.7,0.1,0.4,0.6,0.6,0.1,0.1,0,0.3,2.5,0,0,-0.4
D.J. Carton,TOR,24,4,1,3,8.3,0.8,0.3,1.8,14.3,0,0.8,0,0.3,0.3,100,0,1,1,0.8,1,0.5,0,0.3,3.6,0,0,3
Liam Robbins,MIL,25,7,3,4,4.7,0.7,0.3,0.6,50,0,0.1,0,0.1,0.6,25,0.6,0.4,1,0.1,0.1,0.1,0.1,0.6,2.8,0,0,1.9
Branden Carlson,OKC,25,6,6,0,3.6,0.7,0.2,1.3,12.5,0,1,0,0.3,0.3,100,0.5,1,1.5,0.3,0.2,0.2,0.2,0.2,3.8,0,0,2.5
Chris Livingston,MIL,21,3,3,0,2,0.7,0.3,0.7,50,0,0,0,0,0,0,0.3,0.3,0.7,0.3,0.3,0.3,0,0,2.6,0,0,1.3
Gui Santos,GSW,22,9,5,4,4.4,0.7,0.2,0.8,28.6,0.1,0.6,20,0.1,0.2,50,0.2,0.8,1,0.3,0.3,0,0.1,0.7,2.4,0,0,1.3
Keshad Johnson,MIA,23,3,2,1,4.7,0.7,0.3,0.7,50,0,0.3,0,0,0,0,0,1,1,0,0,0,0,0.3,1.9,0,0,0.7
PJ Hall,DEN,22,6,4,2,2.3,0.7,0.3,0.8,40,0,0.3,0,0,0,0,0,0.5,0.5,0,0,0,0.2,0.2,1.8,0,0,0.5
Ulrich Chomche,TOR,19,3,0,3,4.5,0.7,0.3,0.7,50,0,0,0,0,0,0,0.7,0.7,1.3,0.3,0.7,0,0,0.7,2.1,0,0,-0.3
Cui Yongxi,BKN,21,5,2,3,2.1,0.6,0.2,1.4,14.3,0,0.6,0,0.2,0.4,50,0,0.4,0.4,0,0,0,0,0,1.1,0,0,0.4
Tristen Newton,IND,23,5,0,5,1.6,0.6,0.2,1.2,16.7,0,0.6,0,0.2,0.2,100,0,0,0,0.2,0.2,0,0,0.4,0.7,0,0,-0.6
Bronny James,LAL,20,7,5,2,2.6,0.6,0.1,1.1,12.5,0,0.6,0,0.3,0.3,100,0.1,0,0.1,0.3,0,0.1,0.1,0.3,2,0,0,-2.7
Maxwell Lewis,BKN,22,7,4,3,4.2,0.6,0.3,0.9,33.3,0,0,0,0,0,0,0.3,0,0.3,0.3,0.3,0.1,0,0.1,1.5,0,0,-3.6
Garrett Temple,TOR,38,11,3,8,4.2,0.5,0.2,0.9,20,0.1,0.5,20,0,0,0,0.1,0.7,0.8,0.6,0.4,0.4,0.1,0.5,3.4,0,0,-0.1
Stanley Umude,MIL,25,8,5,3,3.3,0.4,0.1,0.6,20,0.1,0.5,25,0,0.3,0,0,0.8,0.8,0.3,0,0.1,0.1,0.1,2.4,0,0,1
Daishen Nix,MIN,22,3,3,0,4.4,0.3,0,0.3,0,0,0.3,0,0.3,0.7,50,0,1.3,1.3,1,1.3,0,0,0.3,2.1,0,0,3
Malevy Leons,OKC,25,6,6,0,3.5,0.3,0,0.3,0,0,0.2,0,0.3,0.7,50,0.2,0.3,0.5,0.2,0.2,0,0,0.7,1,0,0,-3
Reece Beekman,BKN,23,6,4,2,3.9,0.3,0.2,0.7,25,0,0.3,0,0,0,0,0.2,0,0.2,0.3,0.3,0.2,0,0.5,1.2,0,0,-2.3
Jalen Bridges,PHX,23,4,0,4,4.2,0.3,0,0.8,0,0,0.8,0,0.3,0.5,50,0,0.8,0.8,0,0.5,0,0,0,0.7,0,0,0.5
Jacob Toppin,NYK,24,9,8,1,2.7,0.2,0.1,0.3,33.3,0,0.2,0,0,0,0,0,0.4,0.4,0.4,0.1,0,0,0.1,1.3,0,0,-1.3
Alex Ducas,OKC,24,4,4,0,1.8,0,0,0.8,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Swider,DET,25,2,0,2,6.5,0,0,2.5,0,0,2.5,0,0,0,0,0,1,1,0.5,0,0,0,0.5,2,0,0,5
Daniss Jenkins,DET,23,2,0,2,2.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,-2.5
Harrison Ingram,SAS,22,1,0,1,6.8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,0
Isaiah Crawford,SAC,23,1,1,0,5.2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,3
Joe Ingles,MIN,37,7,5,2,3.7,0,0,0.3,0,0,0.3,0,0,0,0,0.3,0,0.3,1.3,0.1,0,0,0.7,2.1,0,0,-0.4
Josh Christopher,MIA,23,1,1,0,1.6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,-5
Justin Minaya,POR,25,1,0,1,6.1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.2,0,0,-2
Kessler Edwards,DAL,24,11,7,4,2.2,0,0,0.5,0,0,0.4,0,0,0,0,0,0.2,0.2,0.1,0.1,0,0.1,0.4,0.5,0,0,-2.9
Mac McClung,ORL,25,1,0,1,4.9,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,4.2,0,0,11
Mason Jones,SAC,26,3,2,1,4.2,0,0,0.7,0,0,0.7,0,0,0,0,0.3,1,1.3,2.3,0,0,0,0.3,5.1,0,0,-0.3
Riley Minix,SAS,24,1,0,1,6.8,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,2.4,0,0,0
Spencer Jones,DEN,23,4,3,1,2.4,0,0,0.5,0,0,0.5,0,0,0,0,0,0.8,0.8,0,0.3,0.5,0,0.3,2.2,0,0,1.3
Tristan Vukcevic,WAS,21,2,0,2,2.6,0,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0.5,0,1.5,0,0,-2.5
